#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	111937.369953	112.827889	1.000000	0.001008
0.050	100615.581617	101.396460	0.898856	0.000906
0.100	92042.734279	92.819248	0.822270	0.000829
0.150	84046.068991	84.611239	0.750831	0.000756
0.200	77166.060780	77.627100	0.689368	0.000693
0.250	70472.562585	70.979217	0.629571	0.000634
0.300	64566.438296	65.009535	0.576809	0.000581
0.350	58965.295541	59.417382	0.526770	0.000531
0.400	53826.233236	54.244331	0.480860	0.000485
0.450	48997.544497	49.283102	0.437723	0.000440
0.500	44870.377162	45.121630	0.400853	0.000403
0.550	40554.047910	40.799528	0.362292	0.000364
0.600	36868.716945	37.066670	0.329369	0.000331
0.650	33510.321614	33.618166	0.299367	0.000300
0.700	30440.221483	30.564508	0.271940	0.000273
0.750	27754.338613	27.857376	0.247945	0.000249
0.800	25356.748079	25.411427	0.226526	0.000227
0.850	23249.015735	23.265729	0.207697	0.000208
0.900	21563.222481	21.577089	0.192636	0.000193
0.910	21227.907259	21.256986	0.189641	0.000190
0.920	20975.568335	20.990531	0.187387	0.000188
0.930	20743.644351	20.792635	0.185315	0.000186
0.940	20450.278544	20.461174	0.182694	0.000183
0.950	20273.814953	20.282977	0.181117	0.000181
0.960	20111.372317	20.074740	0.179666	0.000179
0.970	19968.817199	20.022748	0.178393	0.000179
0.980	19873.911644	19.865335	0.177545	0.000177
0.990	19873.697412	19.868405	0.177543	0.000177
