#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 5.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	62665.903771	64.008537	1.000000	0.001021
0.050	56739.081702	57.993729	0.905422	0.000925
0.100	51504.370862	52.592497	0.821888	0.000839
0.150	46679.034339	47.696450	0.744887	0.000761
0.200	42456.905589	43.369369	0.677512	0.000692
0.250	38319.221731	39.052721	0.611484	0.000623
0.300	34654.026922	35.406356	0.552997	0.000565
0.350	31266.846942	31.915127	0.498945	0.000509
0.400	28059.796812	28.577251	0.447768	0.000456
0.450	25068.209250	25.550317	0.400029	0.000408
0.500	22291.012787	22.717610	0.355712	0.000363
0.550	19721.890300	20.112025	0.314715	0.000321
0.600	17278.563849	17.552627	0.275725	0.000280
0.650	14996.933411	15.248059	0.239316	0.000243
0.700	12882.511397	13.064193	0.205574	0.000208
0.750	10875.064996	11.029357	0.173540	0.000176
0.800	8991.470226	9.102362	0.143483	0.000145
0.850	7241.551219	7.328930	0.115558	0.000117
0.900	5649.132413	5.687322	0.090147	0.000091
0.910	5355.931537	5.393685	0.085468	0.000086
0.920	5087.294400	5.105070	0.081181	0.000081
0.930	4810.995364	4.827660	0.076772	0.000077
0.940	4559.548438	4.569603	0.072760	0.000073
0.950	4333.872903	4.345834	0.069158	0.000069
0.960	4139.973627	4.142665	0.066064	0.000066
0.970	3985.350547	3.980190	0.063597	0.000064
0.980	3874.673827	3.862769	0.061831	0.000062
0.990	3835.184955	3.828042	0.061201	0.000061
