#System variables:
#Boundary type: 1
#System Length: 20.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	538.369011	0.551473	1.000000	0.001024
0.050	479.774600	0.491311	0.891163	0.000913
0.100	443.499825	0.453461	0.823784	0.000842
0.150	411.177765	0.421145	0.763747	0.000782
0.200	382.748778	0.389504	0.710941	0.000723
0.250	356.045241	0.362221	0.661341	0.000673
0.300	331.316606	0.336048	0.615408	0.000624
0.350	308.962474	0.313364	0.573886	0.000582
0.400	288.514560	0.292019	0.535905	0.000542
0.450	269.711788	0.272598	0.500979	0.000506
0.500	254.090622	0.256422	0.471964	0.000476
0.550	237.034277	0.238028	0.440282	0.000442
0.600	223.289490	0.223661	0.414752	0.000415
0.650	211.473695	0.211846	0.392804	0.000393
0.700	202.024013	0.201536	0.375252	0.000374
0.750	193.965779	0.193299	0.360284	0.000359
0.800	188.495872	0.187500	0.350124	0.000348
0.850	184.948250	0.183723	0.343534	0.000341
0.900	184.356579	0.183304	0.342435	0.000340
0.910	183.932222	0.182616	0.341647	0.000339
0.920	184.667525	0.183697	0.343013	0.000341
0.930	184.841158	0.183831	0.343335	0.000341
0.940	185.530831	0.184557	0.344616	0.000343
0.950	186.320419	0.185458	0.346083	0.000344
0.960	186.871131	0.186028	0.347106	0.000346
0.970	187.492771	0.186638	0.348261	0.000347
0.980	187.664164	0.187216	0.348579	0.000348
0.990	187.488363	0.186777	0.348253	0.000347
