#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 4.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	68771.086721	69.972697	1.000000	0.001017
0.050	62346.151267	63.588957	0.906575	0.000925
0.100	56513.532505	57.609755	0.821763	0.000838
0.150	51383.074209	52.351348	0.747161	0.000761
0.200	46670.236998	47.489113	0.678632	0.000691
0.250	42221.183248	42.953862	0.613938	0.000625
0.300	38176.981741	38.902037	0.555131	0.000566
0.350	34431.081221	34.958904	0.500662	0.000508
0.400	30951.702739	31.457183	0.450069	0.000457
0.450	27728.411035	28.181612	0.403199	0.000410
0.500	24738.996946	25.145479	0.359730	0.000366
0.550	21874.226888	22.231895	0.318073	0.000323
0.600	19237.228536	19.532969	0.279728	0.000284
0.650	16758.730094	16.976281	0.243689	0.000247
0.700	14438.568748	14.621291	0.209951	0.000213
0.750	12247.607308	12.394073	0.178092	0.000180
0.800	10248.867864	10.354556	0.149029	0.000151
0.850	8337.819828	8.408160	0.121240	0.000122
0.900	6664.814982	6.700387	0.096913	0.000097
0.910	6351.699479	6.383890	0.092360	0.000093
0.920	6062.630721	6.076095	0.088157	0.000088
0.930	5792.363005	5.810485	0.084227	0.000084
0.940	5532.250683	5.538024	0.080444	0.000081
0.950	5306.756367	5.314491	0.077166	0.000077
0.960	5115.486984	5.110905	0.074384	0.000074
0.970	4972.702498	4.972857	0.072308	0.000072
0.980	4875.079090	4.872838	0.070888	0.000071
0.990	4844.213821	4.843403	0.070440	0.000070
