#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 10.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	44322.608193	45.907427	1.000000	0.001036
0.050	40169.381612	41.641077	0.906296	0.000939
0.100	36420.635830	37.727449	0.821717	0.000851
0.150	33030.754599	34.182510	0.745235	0.000771
0.200	29949.047190	30.998420	0.675706	0.000699
0.250	27046.005567	27.993960	0.610208	0.000632
0.300	24396.098275	25.233826	0.550421	0.000569
0.350	21869.870655	22.621693	0.493425	0.000510
0.400	19654.212949	20.316293	0.443435	0.000458
0.450	17488.078730	18.086608	0.394563	0.000408
0.500	15498.467227	16.009041	0.349674	0.000361
0.550	13622.473650	14.099417	0.307348	0.000318
0.600	11909.566928	12.282350	0.268702	0.000277
0.650	10288.544815	10.610971	0.232129	0.000239
0.700	8724.263294	8.979564	0.196836	0.000203
0.750	7274.508150	7.469980	0.164126	0.000169
0.800	5910.680104	6.067182	0.133356	0.000137
0.850	4623.127397	4.724591	0.104306	0.000107
0.900	3427.512157	3.482839	0.077331	0.000079
0.910	3190.960345	3.232538	0.071994	0.000073
0.920	2976.356172	3.011266	0.067152	0.000068
0.930	2758.045530	2.783132	0.062227	0.000063
0.940	2546.211587	2.568143	0.057447	0.000058
0.950	2351.066073	2.366777	0.053044	0.000053
0.960	2171.312812	2.174633	0.048989	0.000049
0.970	2002.348776	2.000456	0.045177	0.000045
0.980	1888.885529	1.884577	0.042617	0.000043
0.990	1841.559202	1.834093	0.041549	0.000041
