#System variables:
#Boundary type: 1
#System Length: 100.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	23555.683377	23.844388	1.000000	0.001012
0.050	21165.674412	21.406555	0.898538	0.000909
0.100	19386.996658	19.604018	0.823028	0.000832
0.150	17782.424333	17.993202	0.754910	0.000764
0.200	16307.654957	16.457840	0.692302	0.000699
0.250	14990.533695	15.135832	0.636387	0.000643
0.300	13720.683561	13.837014	0.582479	0.000587
0.350	12613.420751	12.737736	0.535473	0.000541
0.400	11584.951407	11.677792	0.491811	0.000496
0.450	10590.629514	10.665683	0.449600	0.000453
0.500	9736.523731	9.822616	0.413341	0.000417
0.550	8876.194990	8.927589	0.376818	0.000379
0.600	8132.213989	8.182012	0.345234	0.000347
0.650	7440.764756	7.469506	0.315880	0.000317
0.700	6848.862468	6.887324	0.290752	0.000292
0.750	6311.494786	6.323417	0.267939	0.000268
0.800	5835.699356	5.853027	0.247741	0.000248
0.850	5467.996615	5.473307	0.232131	0.000232
0.900	5155.937488	5.156556	0.218883	0.000219
0.910	5108.762785	5.106731	0.216880	0.000217
0.920	5056.614428	5.058944	0.214666	0.000215
0.930	5018.409614	5.024142	0.213045	0.000213
0.940	4998.989813	4.994106	0.212220	0.000212
0.950	4962.447473	4.958334	0.210669	0.000210
0.960	4934.706497	4.939712	0.209491	0.000210
0.970	4926.224814	4.922796	0.209131	0.000209
0.980	4925.747015	4.929189	0.209111	0.000209
0.990	4930.287705	4.941317	0.209304	0.000210
