#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 15.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	34206.183542	35.845932	1.000000	0.001048
0.050	31028.631510	32.526214	0.907106	0.000951
0.100	28089.125628	29.473749	0.821171	0.000862
0.150	25446.578748	26.708454	0.743918	0.000781
0.200	23054.196155	24.163959	0.673977	0.000706
0.250	20793.663440	21.793972	0.607892	0.000637
0.300	18767.220733	19.643029	0.548650	0.000574
0.350	16845.551007	17.653381	0.492471	0.000516
0.400	15061.726792	15.770062	0.440322	0.000461
0.450	13441.875953	14.115529	0.392966	0.000413
0.500	11869.754606	12.405648	0.347006	0.000363
0.550	10450.884734	10.922351	0.305526	0.000319
0.600	9096.955537	9.492773	0.265945	0.000278
0.650	7829.486168	8.156830	0.228891	0.000238
0.700	6630.465216	6.914743	0.193838	0.000202
0.750	5497.088441	5.716424	0.160705	0.000167
0.800	4434.674593	4.594339	0.129645	0.000134
0.850	3438.340528	3.552329	0.100518	0.000104
0.900	2503.996650	2.558062	0.073203	0.000075
0.910	2325.271125	2.373281	0.067978	0.000069
0.920	2142.667925	2.184904	0.062640	0.000064
0.930	1967.928756	2.001151	0.057531	0.000059
0.940	1804.974572	1.826743	0.052767	0.000053
0.950	1639.499433	1.654495	0.047930	0.000048
0.960	1486.478276	1.495460	0.043456	0.000044
0.970	1346.427109	1.344122	0.039362	0.000039
0.980	1229.748013	1.221988	0.035951	0.000036
0.990	1174.268267	1.167527	0.034329	0.000034
