#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	111940.538283	112.738652	1.000000	0.001007
0.050	100452.554072	101.246459	0.897374	0.000904
0.100	91869.556304	92.318187	0.820700	0.000825
0.150	84116.543120	84.734034	0.751440	0.000757
0.200	77037.088049	77.579513	0.688197	0.000693
0.250	70582.012086	71.018438	0.630531	0.000634
0.300	64522.567045	64.995164	0.576400	0.000581
0.350	58931.721667	59.224999	0.526456	0.000529
0.400	53790.312636	54.203575	0.480526	0.000484
0.450	49041.115120	49.311044	0.438100	0.000441
0.500	44860.098404	45.114960	0.400749	0.000403
0.550	40639.987377	40.779804	0.363050	0.000364
0.600	36883.638924	37.091613	0.329493	0.000331
0.650	33525.718822	33.703756	0.299496	0.000301
0.700	30494.331130	30.570828	0.272415	0.000273
0.750	27776.750824	27.832231	0.248138	0.000249
0.800	25332.406724	25.373760	0.226302	0.000227
0.850	23282.400660	23.298355	0.207989	0.000208
0.900	21573.965306	21.588044	0.192727	0.000193
0.910	21260.051874	21.265576	0.189923	0.000190
0.920	21018.134721	21.026606	0.187762	0.000188
0.930	20734.301285	20.717232	0.185226	0.000185
0.940	20469.340441	20.497829	0.182859	0.000183
0.950	20294.106206	20.303382	0.181294	0.000181
0.960	20112.117010	20.123160	0.179668	0.000180
0.970	19956.215622	19.953538	0.178275	0.000178
0.980	19883.724320	19.879728	0.177628	0.000178
0.990	19852.925395	19.878502	0.177352	0.000178
