#System variables:
#Boundary type: 1
#System Length: 500.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	845706.909365	850.827104	1.000000	0.001006
0.050	759862.783009	764.817549	0.898494	0.000904
0.100	693541.040128	697.532703	0.820073	0.000825
0.150	633428.494357	637.254829	0.748993	0.000754
0.200	577963.731453	580.423312	0.683409	0.000686
0.250	528813.497972	531.258812	0.625292	0.000628
0.300	481770.182557	483.589954	0.569666	0.000572
0.350	438927.283895	441.508994	0.519006	0.000522
0.400	398386.487079	401.116336	0.471069	0.000474
0.450	362319.138213	363.750021	0.428422	0.000430
0.500	329133.396002	330.666709	0.389181	0.000391
0.550	295767.444991	297.057297	0.349728	0.000351
0.600	267236.283086	268.103867	0.315992	0.000317
0.650	239915.150696	240.695794	0.283686	0.000285
0.700	215819.915771	216.242687	0.255195	0.000256
0.750	194194.864917	194.493193	0.229624	0.000230
0.800	174549.076859	174.938119	0.206394	0.000207
0.850	157349.688443	157.162581	0.186057	0.000186
0.900	142555.793103	142.748787	0.168564	0.000169
0.910	139876.143590	139.953320	0.165396	0.000165
0.920	137270.393070	137.412239	0.162314	0.000162
0.930	134765.431499	134.821332	0.159352	0.000159
0.940	132647.538780	132.560009	0.156848	0.000157
0.950	130496.558959	130.413792	0.154305	0.000154
0.960	128580.043035	128.319870	0.152039	0.000152
0.970	127126.319325	127.209555	0.150320	0.000150
0.980	125730.862318	125.860717	0.148670	0.000149
0.990	124781.432875	124.707431	0.147547	0.000147
