#Parabolic search strategy:
#p(d) = p_max - (p_max - p_min) * (d - 200 / 2sqrt2)^2 * (2sqrt2 / 200)^2
#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p_min	p_max	<fpt>	<delta>
0.350	0.700	62209.825842	62.432309
0.350	0.750	60062.796013	60.278416
0.350	0.800	58112.839877	58.134882
0.350	0.850	56126.510481	56.185762
0.350	0.900	54234.533909	54.356992
0.350	0.950	52461.278444	52.511259
0.350	1.000	50972.290054	51.018020

0.400	0.000	104593.558978	106.732656
0.400	0.050	99105.630424	101.025093
0.400	0.100	94077.955921	95.583424
0.400	0.150	89664.794181	91.085542
0.400	0.200	85298.897564	86.387205
0.400	0.250	81475.006229	82.440909
0.400	0.300	78237.637573	79.017737
0.400	0.350	74673.299660	75.354883
0.400	0.400	71768.208355	72.352515
0.400	0.450	68919.703519	69.436076
0.400	0.500	66277.328407	66.688984
0.400	0.550	63825.536047	64.194512
0.400	0.600	61502.506720	61.795100
0.400	0.650	59257.124590	59.490484
0.400	0.700	57020.798446	57.229040
0.400	0.750	55078.010896	55.231968
0.400	0.800	53061.286568	53.166816
0.400	0.850	51253.923582	51.315142
0.400	0.900	49433.190769	49.516426
0.400	0.950	47814.016674	47.767597
0.400	1.000	46196.903786	46.320414

0.450	0.000	97833.858845	100.081063
0.450	0.050	92629.112386	94.495259
0.450	0.100	87979.341728	89.727675
0.450	0.150	83374.656681	84.719740
0.450	0.200	79313.043535	80.306300
0.450	0.250	75687.377014	76.780787
0.450	0.300	72525.722939	73.303178
0.450	0.350	69338.662609	69.954134
0.450	0.400	66464.749409	67.006109
0.450	0.450	63650.302637	64.101412
0.450	0.500	61177.036460	61.651335
0.450	0.550	58821.297380	59.158508
0.450	0.600	56453.654484	56.817625
0.450	0.650	54350.922052	54.541594
0.450	0.700	52334.261554	52.546491
0.450	0.750	50334.569213	50.611382
0.450	0.800	48553.499394	48.708433
0.450	0.850	46771.299172	46.916557
0.450	0.900	45068.229181	45.091663
0.450	0.950	43542.191393	43.596187
0.450	1.000	42000.799351	42.136076

0.500	0.000	91596.861241	93.656791
0.500	0.050	86553.596180	88.452560
0.500	0.100	82007.768343	83.684653
0.500	0.150	77750.954976	79.133268
0.500	0.200	74020.480507	75.230331
0.500	0.250	70271.188319	71.272273
0.500	0.300	67234.864593	68.196847
0.500	0.350	64300.185945	65.028802
0.500	0.400	61501.349971	62.072721
0.500	0.450	58799.953577	59.277652
0.500	0.500	56523.983248	57.042225
0.500	0.550	54140.894984	54.468166
0.500	0.600	52037.927524	52.437412
0.500	0.650	50014.455104	50.266838
0.500	0.700	48031.901143	48.233132
0.500	0.750	46159.626392	46.267026
0.500	0.800	44395.325368	44.538278
0.500	0.850	42674.796566	42.760749
0.500	0.900	41073.565088	41.116911
0.500	0.950	39571.175933	39.703681
0.500	1.000	38193.104711	38.319295

0.550	0.000	85713.146091	87.816655
0.550	0.050	80967.702772	82.896354
0.550	0.100	76511.700516	78.065123
0.550	0.150	72506.727872	73.911294
0.550	0.200	68837.988264	69.941805
0.550	0.250	65573.304227	66.555050
0.550	0.300	62475.983884	63.373027
0.550	0.350	59577.340258	60.351199
0.550	0.400	56948.342918	57.565407
0.550	0.450	54416.324083	54.926172
0.550	0.500	52077.841364	52.468822
0.550	0.550	49880.499046	50.215911
0.550	0.600	47833.061527	48.170766
0.550	0.650	45886.944061	46.055246
0.550	0.700	44030.717337	44.165873
0.550	0.750	42199.344382	42.343095
0.550	0.800	40582.344233	40.759612
0.550	0.850	38890.000339	38.928061
0.550	0.900	37461.892769	37.530333
0.550	0.950	35964.412596	36.030491
0.550	1.000	34635.168173	34.646468

0.600	0.000	80683.067700	82.976027
0.600	0.050	75758.244059	77.792299
0.600	0.100	71658.276437	73.329193
0.600	0.150	67831.278322	69.263213
0.600	0.200	64371.218340	65.596816
0.600	0.250	61082.831665	62.132117
0.600	0.300	58132.586519	59.167214
0.600	0.350	55323.574735	56.005268
0.600	0.400	52784.019254	53.418701
0.600	0.450	50436.191985	50.910291
0.600	0.500	48198.494085	48.566561
0.600	0.550	46053.480119	46.368678
0.600	0.600	44132.638464	44.372892
0.600	0.650	42223.154969	42.485074
0.600	0.700	40420.126903	40.617751
0.600	0.750	38657.399062	38.819437
0.600	0.800	36990.246039	37.149046
0.600	0.850	35453.952096	35.618401
0.600	0.900	34064.197972	34.122962
0.600	0.950	32642.382505	32.632574
0.600	1.000	31473.918298	31.483598

0.650	0.000	76011.200721	78.381151
0.650	0.050	71180.011405	73.168822
0.650	0.100	67068.616386	68.882768
0.650	0.150	63473.812070	64.859744
0.650	0.200	60024.794499	61.113527
0.650	0.250	56958.464947	57.925643
0.650	0.300	54126.757527	54.934313
0.650	0.350	51420.425163	52.129109
0.650	0.400	48933.089836	49.594276
0.650	0.450	46663.299073	47.196366
0.650	0.500	44472.934021	44.909124
0.650	0.550	42474.218752	42.834014
0.650	0.600	40511.298894	40.819100
0.650	0.650	38772.359297	38.998908
0.650	0.700	37040.552222	37.231510
0.650	0.750	35400.522276	35.546961
0.650	0.800	33868.168511	33.940439
0.650	0.850	32381.693151	32.451187
0.650	0.900	30968.543006	31.007219
0.650	0.950	29617.408220	29.669884
0.650	1.000	28516.888861	28.556029

0.700	0.000	71321.716845	73.853710
0.700	0.050	66877.431311	69.002974
0.700	0.100	62913.106207	64.660897
0.700	0.150	59410.775321	60.764872
0.700	0.200	56193.164019	57.546876
0.700	0.250	53266.297025	54.297157
0.700	0.300	50408.726171	51.270188
0.700	0.350	47889.111334	48.595645
0.700	0.400	45464.868274	46.111463
0.700	0.450	43224.299482	43.782478
0.700	0.500	41174.077982	41.597367
0.700	0.550	39194.499613	39.542881
0.700	0.600	37358.785964	37.671604
0.700	0.650	35681.129389	35.894567
0.700	0.700	34005.653810	34.223089
0.700	0.750	32430.147143	32.573909
0.700	0.800	30897.468474	30.969774
0.700	0.850	29471.657299	29.574196
0.700	0.900	28121.054448	28.230140
0.700	0.950	26877.869148	26.904218
0.700	1.000	25848.259624	25.891584

0.750	0.000	67349.434300	69.742027
0.750	0.050	63002.657625	65.034277
0.750	0.100	59186.827406	60.927533
0.750	0.150	55655.857344	57.142012
0.750	0.200	52503.867538	53.721258
0.750	0.250	49737.690197	50.866116
0.750	0.300	47118.445323	48.024310
0.750	0.350	44576.027322	45.297243
0.750	0.400	42192.804723	42.833833
