#System variables:
#Boundary type: 1
#System Length: 50
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	7858.105038	8.028584	1.863820	0.001904
0.050	6872.842996	7.019381	1.630131	0.001665
0.100	6036.769455	6.175630	1.431828	0.001465
0.150	5337.667591	5.438504	1.266012	0.001290
0.200	4737.180130	4.833017	1.123585	0.001146
0.250	4224.256072	4.299641	1.001928	0.001020
0.250	4216.127979	4.296372	1.000000	0.001019
0.300	3770.027104	3.837612	0.894192	0.000910
0.350	3378.145580	3.439678	0.801244	0.000816
0.400	3021.200912	3.071239	0.716582	0.000728
0.450	2707.621624	2.744325	0.642206	0.000651
0.500	2431.293011	2.467109	0.576665	0.000585
0.550	2179.234229	2.208661	0.516880	0.000524
0.600	1953.981402	1.976377	0.463454	0.000469
0.650	1754.507371	1.775348	0.416142	0.000421
0.700	1577.311602	1.590822	0.374114	0.000377
0.750	1418.448874	1.426561	0.336434	0.000338
0.800	1278.888838	1.281912	0.303333	0.000304
0.850	1159.129977	1.160581	0.274928	0.000275
0.900	1077.359184	1.078738	0.255533	0.000256
0.950	1112.461686	1.121550	0.263859	0.000266
0.960	1186.704330	1.201285	0.281468	0.000285
0.970	1333.180962	1.356277	0.316210	0.000322
0.980	1675.903324	1.723341	0.397498	0.000409
0.990	2804.651799	2.921565	0.665220	0.000693
