#System variables:
#Boundary type: 1
#System Length: 100
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	40191.567011	40.761658	1.889245	0.001916
0.050	35034.712044	35.519549	1.646842	0.001670
0.100	30789.969387	31.268299	1.447314	0.001470
0.150	27102.439078	27.493500	1.273978	0.001292
0.200	23952.931206	24.313081	1.125932	0.001143
0.250	21273.874925	21.546506	1.000000	0.001013
0.300	18891.038717	19.161511	0.887992	0.000901
0.350	16852.575336	17.074024	0.792172	0.000803
0.400	14992.800760	15.173878	0.704752	0.000713
0.450	13396.188096	13.563092	0.629701	0.000638
0.500	11896.943522	12.029742	0.559228	0.000565
0.550	10587.796068	10.676252	0.497690	0.000502
0.600	9399.444119	9.460418	0.441830	0.000445
0.650	8346.544377	8.414154	0.392338	0.000396
0.700	7394.144827	7.435036	0.347569	0.000349
0.750	6536.126508	6.576575	0.307237	0.000309
0.800	5787.855530	5.805023	0.272064	0.000273
0.850	5122.140434	5.135934	0.240771	0.000241
0.900	4566.586443	4.567317	0.214657	0.000215
0.950	4179.728873	4.181345	0.196472	0.000197
0.960	4191.098450	4.200015	0.197007	0.000197
0.970	4315.975518	4.328490	0.202877	0.000203
0.980	4795.044604	4.829546	0.225396	0.000227
0.990	6861.248269	6.965515	0.322520	0.000327
