#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	195636.567996	197.546562	1.907399	0.001926
0.050	170550.409056	172.342381	1.662816	0.001680
0.100	149316.316874	150.769476	1.455790	0.001470
0.150	131416.702131	132.748383	1.281274	0.001294
0.200	115833.320832	116.970411	1.129341	0.001140
0.250	102567.219652	103.598464	1.000000	0.001010
0.300	91183.506832	91.752160	0.889012	0.000895
0.350	80891.988455	81.493681	0.788673	0.000795
0.400	71739.384316	72.367818	0.699438	0.000706
0.450	63724.516779	64.272430	0.621295	0.000627
0.500	56529.103853	56.960584	0.551142	0.000555
0.550	49907.193321	50.300037	0.486580	0.000490
0.600	44098.000659	44.367042	0.429942	0.000433
0.650	38804.612680	39.062317	0.378333	0.000381
0.700	33973.184339	34.099456	0.331228	0.000332
0.750	29660.260024	29.736341	0.289179	0.000290
0.800	25843.110589	25.899456	0.251963	0.000253
0.850	22428.724571	22.474514	0.218673	0.000219
0.900	19525.880006	19.546961	0.190372	0.000191
0.950	17186.338175	17.201939	0.167562	0.000168
0.960	16839.617145	16.863311	0.164181	0.000164
0.970	16539.910475	16.540098	0.161259	0.000161
0.980	16648.113759	16.675117	0.162314	0.000163
0.990	19333.348917	19.396472	0.188494	0.000189
