#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 15.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	34228.260781	35.936563	1.000000	0.001050
0.050	31050.199877	32.577147	0.907151	0.000952
0.100	28172.672099	29.556455	0.823082	0.000864
0.150	25522.504647	26.778818	0.745656	0.000782
0.200	23070.512729	24.145762	0.674019	0.000705
0.250	20821.971130	21.806660	0.608327	0.000637
0.300	18763.470610	19.682693	0.548187	0.000575
0.350	16854.116629	17.649916	0.492404	0.000516
0.400	15062.952416	15.780625	0.440074	0.000461
0.450	13452.624426	14.099556	0.393027	0.000412
0.500	11897.893169	12.451028	0.347604	0.000364
0.550	10441.266943	10.918453	0.305048	0.000319
0.600	9111.120916	9.498964	0.266187	0.000278
0.650	7818.799426	8.156898	0.228431	0.000238
0.700	6632.297985	6.914213	0.193767	0.000202
0.750	5500.757650	5.713735	0.160708	0.000167
0.800	4435.337097	4.587293	0.129581	0.000134
0.850	3440.972937	3.551293	0.100530	0.000104
0.900	2504.127092	2.565541	0.073160	0.000075
0.910	2322.167014	2.367721	0.067844	0.000069
0.920	2146.844762	2.188614	0.062721	0.000064
0.930	1971.142429	2.002340	0.057588	0.000058
0.940	1806.373602	1.829886	0.052774	0.000053
0.950	1644.544203	1.659087	0.048046	0.000048
0.960	1490.478086	1.495632	0.043545	0.000044
0.970	1348.272065	1.348510	0.039391	0.000039
0.980	1233.543676	1.228078	0.036039	0.000036
0.990	1176.760618	1.169541	0.034380	0.000034
