#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 3.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	76742.740588	77.955874	1.000000	0.001016
0.050	69744.539299	70.904029	0.908810	0.000924
0.100	63458.516752	64.429193	0.826899	0.000840
0.150	57805.184315	58.531124	0.753233	0.000763
0.200	52472.093847	53.300686	0.683740	0.000695
0.250	47620.426460	48.345486	0.620520	0.000630
0.300	43182.821034	43.803739	0.562696	0.000571
0.350	38961.462762	39.548397	0.507689	0.000515
0.400	35147.268003	35.552058	0.457988	0.000463
0.450	31532.652845	31.939551	0.410888	0.000416
0.500	28196.176544	28.566776	0.367412	0.000372
0.550	25031.773512	25.351570	0.326178	0.000330
0.600	22115.630661	22.394486	0.288179	0.000292
0.650	19408.110411	19.647692	0.252898	0.000256
0.700	16844.944146	17.008558	0.219499	0.000222
0.750	14417.520253	14.531121	0.187868	0.000189
0.800	12211.161780	12.281343	0.159118	0.000160
0.850	10145.563401	10.211328	0.132202	0.000133
0.900	8371.690357	8.381236	0.109088	0.000109
0.910	8048.640828	8.075952	0.104878	0.000105
0.920	7750.291840	7.758346	0.100991	0.000101
0.930	7473.951555	7.480720	0.097390	0.000097
0.940	7223.727473	7.237326	0.094129	0.000094
0.950	6991.220840	6.997661	0.091099	0.000091
0.960	6809.454940	6.810656	0.088731	0.000089
0.970	6642.053567	6.638439	0.086550	0.000087
0.980	6540.315495	6.536392	0.085224	0.000085
0.990	6511.522518	6.500171	0.084849	0.000085
