#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 4.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	68649.122569	70.064295	1.000000	0.001021
0.050	62523.340655	63.587753	0.910767	0.000926
0.100	56719.208971	57.761244	0.826219	0.000841
0.150	51528.780050	52.438562	0.750611	0.000764
0.200	46755.511261	47.688453	0.681080	0.000695
0.250	42430.993679	43.134094	0.618085	0.000628
0.300	38318.635770	39.043837	0.558181	0.000569
0.350	34527.072467	35.132416	0.502950	0.000512
0.400	31089.821964	31.592332	0.452880	0.000460
0.450	27807.018705	28.228947	0.405060	0.000411
0.500	24789.821129	25.175494	0.361109	0.000367
0.550	21961.574147	22.333666	0.319910	0.000325
0.600	19324.733596	19.646416	0.281500	0.000286
0.650	16830.567210	17.087197	0.245168	0.000249
0.700	14501.916182	14.692788	0.211247	0.000214
0.750	12327.803889	12.490745	0.179577	0.000182
0.800	10307.522854	10.407084	0.150148	0.000152
0.850	8406.638038	8.481622	0.122458	0.000124
0.900	6709.787836	6.743801	0.097740	0.000098
0.910	6400.464827	6.422714	0.093234	0.000094
0.920	6102.669393	6.121039	0.088897	0.000089
0.930	5833.337887	5.846672	0.084973	0.000085
0.940	5579.161104	5.601039	0.081271	0.000082
0.950	5347.590623	5.353991	0.077897	0.000078
0.960	5151.591810	5.157245	0.075042	0.000075
0.970	4978.699989	4.972431	0.072524	0.000072
0.980	4873.431672	4.878756	0.070990	0.000071
0.990	4842.371471	4.835287	0.070538	0.000070
