#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 20.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	27315.182536	28.997104	1.000000	0.001062
0.050	24762.229578	26.309357	0.906537	0.000963
0.100	22446.056581	23.828530	0.821743	0.000872
0.150	20358.570719	21.593895	0.745321	0.000791
0.200	18420.747376	19.539758	0.674378	0.000715
0.250	16628.899045	17.632116	0.608779	0.000646
0.300	14957.316262	15.878315	0.547583	0.000581
0.350	13442.765183	14.249657	0.492135	0.000522
0.400	12019.056534	12.723774	0.440014	0.000466
0.450	10691.478892	11.323247	0.391412	0.000415
0.500	9468.812421	10.012431	0.346650	0.000367
0.550	8319.894761	8.791372	0.304589	0.000322
0.600	7241.120250	7.647239	0.265095	0.000280
0.650	6210.428392	6.547118	0.227362	0.000240
0.700	5267.056602	5.554533	0.192825	0.000203
0.750	4363.956562	4.580906	0.159763	0.000168
0.800	3509.474841	3.667382	0.128481	0.000134
0.850	2700.568815	2.802769	0.098867	0.000103
0.900	1950.504707	2.010029	0.071407	0.000074
0.910	1807.219990	1.857177	0.066162	0.000068
0.920	1660.995647	1.701047	0.060809	0.000062
0.930	1524.089008	1.553209	0.055796	0.000057
0.940	1384.729116	1.409300	0.050694	0.000052
0.950	1250.801496	1.267847	0.045791	0.000046
0.960	1121.546434	1.128207	0.041059	0.000041
0.970	1006.263703	1.004060	0.036839	0.000037
0.980	903.090218	0.897369	0.033062	0.000033
0.990	844.671007	0.835738	0.030923	0.000031
