#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 10.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	44299.795350	45.959891	1.000000	0.001037
0.050	40224.509656	41.709886	0.908007	0.000942
0.100	36427.692192	37.741573	0.822299	0.000852
0.150	33115.229373	34.269288	0.747526	0.000774
0.200	29947.574802	31.045418	0.676021	0.000701
0.250	27076.214716	28.018446	0.611204	0.000632
0.300	24450.687639	25.266779	0.551937	0.000570
0.350	21912.342167	22.720680	0.494638	0.000513
0.400	19625.547151	20.321922	0.443017	0.000459
0.450	17484.693847	18.088339	0.394690	0.000408
0.500	15526.254240	16.057513	0.350481	0.000362
0.550	13653.026578	14.082649	0.308196	0.000318
0.600	11918.934862	12.304922	0.269052	0.000278
0.650	10253.999160	10.576700	0.231468	0.000239
0.700	8737.873524	9.001542	0.197244	0.000203
0.750	7285.030175	7.479458	0.164448	0.000169
0.800	5920.508398	6.071137	0.133646	0.000137
0.850	4633.618339	4.736408	0.104597	0.000107
0.900	3429.211128	3.490554	0.077409	0.000079
0.910	3203.644648	3.244419	0.072317	0.000073
0.920	2978.364025	3.013922	0.067232	0.000068
0.930	2760.892234	2.787563	0.062323	0.000063
0.940	2556.552835	2.573525	0.057710	0.000058
0.950	2357.301255	2.370565	0.053212	0.000054
0.960	2174.927669	2.183012	0.049096	0.000049
0.970	2013.881253	2.016295	0.045460	0.000046
0.980	1892.293298	1.887896	0.042716	0.000043
0.990	1839.388432	1.831821	0.041521	0.000041
