#System variables:
#Boundary type: 2	Alpha = 0.100000
#System Length: 200
#Detection Radius: 1
#Fixed steps: 1000000000

#p	Wall-Frequency	rel.-WF
0.550000	4797608	0.004798
0.500000	4806053	0.004806
0.450000	4813197	0.004813
0.350000	4811309	0.004811
0.000000	4775504	0.004776
0.050000	4828797	0.004829
0.300000	4838750	0.004839
0.100000	4810349	0.004810
0.250000	4799353	0.004799
0.150000	4795261	0.004795
0.400000	4819647	0.004820
0.200000	4822271	0.004822
0.700000	4805798	0.004806
0.750000	4813551	0.004814
0.650000	4814190	0.004814
0.720000	4802657	0.004803
0.730000	4813655	0.004814
0.600000	4813880	0.004814
0.710000	4815945	0.004816
0.740000	4795523	0.004796
0.790000	4805517	0.004806
0.780000	4821698	0.004822
0.770000	4811657	0.004812
0.760000	4799999	0.004800
0.860000	4805662	0.004806
0.890000	4807518	0.004808
0.870000	4816304	0.004816
0.800000	4797265	0.004797
0.840000	4808308	0.004808
0.830000	4808198	0.004808
0.820000	4811836	0.004812
0.880000	4812225	0.004812
0.810000	4827225	0.004827
0.850000	4801919	0.004802
0.900000	4804947	0.004805
0.910000	4801926	0.004802
0.990000	4807639	0.004808
0.960000	4809560	0.004810
0.980000	4807782	0.004808
0.970000	4803228	0.004803
0.950000	4803004	0.004803
0.930000	4806278	0.004806
0.920000	4807064	0.004807
0.940000	4807779	0.004808
