#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 5
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	127297.163382	129.984245	1.959536	0.002001
0.050	110245.767201	112.668190	1.697057	0.001734
0.100	96031.579442	98.061077	1.478253	0.001509
0.150	84114.775540	85.865776	1.294813	0.001322
0.200	73826.523899	75.296220	1.136441	0.001159
0.250	64962.897474	66.385433	1.000000	0.001022
0.300	56987.372068	58.255117	0.877230	0.000897
0.350	50248.204201	51.234939	0.773491	0.000789
0.400	44099.386719	44.985005	0.678840	0.000692
0.450	38523.294727	39.321250	0.593005	0.000605
0.500	33573.298263	34.248745	0.516807	0.000527
0.550	29174.768709	29.726653	0.449099	0.000458
0.600	25137.529424	25.605326	0.386952	0.000394
0.650	21432.843786	21.802573	0.329924	0.000336
0.700	18046.360773	18.361615	0.277795	0.000283
0.750	14943.520445	15.150035	0.230032	0.000233
0.800	12135.599561	12.331521	0.186808	0.000190
0.810	11592.833356	11.761890	0.178453	0.000181
0.820	11068.057605	11.217910	0.170375	0.000173
0.830	10586.757187	10.714737	0.162966	0.000165
0.840	10076.641065	10.196285	0.155114	0.000157
0.850	9600.329859	9.713335	0.147782	0.000150
0.860	9088.328890	9.195565	0.139900	0.000142
0.870	8628.862746	8.724093	0.132828	0.000134
0.880	8163.117340	8.261028	0.125658	0.000127
0.890	7721.657092	7.788408	0.118863	0.000120
0.900	7301.446775	7.362079	0.112394	0.000113
0.910	6864.253665	6.919609	0.105664	0.000107
0.920	6458.541326	6.499695	0.099419	0.000100
0.930	6070.150568	6.107182	0.093440	0.000094
0.940	5692.372379	5.714178	0.087625	0.000088
0.950	5346.643665	5.370584	0.082303	0.000083
0.960	5033.447939	5.049655	0.077482	0.000078
0.970	4764.654555	4.779002	0.073344	0.000074
0.980	4629.666343	4.646250	0.071266	0.000072
0.990	5223.299916	5.292005	0.080404	0.000081
0.991	5425.768232	5.500785	0.083521	0.000085
0.992	5714.776003	5.811225	0.087970	0.000089
0.993	6081.215058	6.189953	0.093611	0.000095
0.994	6612.909620	6.762269	0.101795	0.000104
0.995	7393.745798	7.578574	0.113815	0.000117
0.996	8600.763960	8.867099	0.132395	0.000136
0.997	10677.457770	11.086547	0.164362	0.000171
0.998	14873.043853	15.482114	0.228947	0.000238
0.999	27723.356332	29.041911	0.426757	0.000447
