#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	195634.006822	197.523919	1.907707	0.001926
0.050	170858.654666	172.609506	1.666112	0.001683
0.100	149064.619311	150.335236	1.453590	0.001466
0.150	131342.581160	132.731626	1.280775	0.001294
0.200	115973.817962	116.890707	1.130908	0.001140
0.250	102549.301461	103.590712	1.000000	0.001010
0.300	90947.472753	91.766676	0.886866	0.000895
0.350	80712.026007	81.351188	0.787056	0.000793
0.400	71827.540338	72.460366	0.700420	0.000707
0.450	63729.945137	64.300202	0.621457	0.000627
0.500	56491.868834	56.929498	0.550875	0.000555
0.550	49890.490451	50.191657	0.486502	0.000489
0.600	43993.328992	44.294765	0.428997	0.000432
0.650	38739.825971	38.976675	0.377768	0.000380
0.700	33986.996591	34.152372	0.331421	0.000333
0.750	29636.711851	29.753145	0.289000	0.000290
0.800	25781.322883	25.870978	0.251404	0.000252
0.810	25083.284669	25.173564	0.244597	0.000245
0.820	24409.559750	24.499674	0.238028	0.000239
0.830	23718.824703	23.778975	0.231292	0.000232
0.840	23085.206815	23.106100	0.225113	0.000225
0.850	22399.769959	22.485428	0.218429	0.000219
0.860	21774.129396	21.832220	0.212328	0.000213
0.870	21214.055510	21.233615	0.206867	0.000207
0.880	20612.350414	20.653514	0.200999	0.000201
0.890	20040.870573	20.089720	0.195427	0.000196
0.900	19521.263373	19.553883	0.190360	0.000191
0.910	18995.617314	19.057886	0.185234	0.000186
0.920	18491.222585	18.497248	0.180315	0.000180
0.930	18038.164334	18.048065	0.175897	0.000176
0.940	17561.531097	17.555577	0.171250	0.000171
0.950	17157.512486	17.184064	0.167310	0.000168
0.960	16797.391926	16.790387	0.163798	0.000164
0.970	16558.455434	16.575214	0.161468	0.000162
0.980	16659.058144	16.668473	0.162449	0.000163
0.990	19361.929810	19.414104	0.188806	0.000189
0.991	20175.885665	20.257595	0.196743	0.000198
0.992	21251.282302	21.351851	0.207230	0.000208
0.993	22744.787847	22.875421	0.221794	0.000223
0.994	24809.290483	24.956192	0.241925	0.000243
0.995	27776.424676	27.975125	0.270859	0.000273
0.996	32409.169459	32.751432	0.316035	0.000319
0.997	40325.197728	40.679954	0.393227	0.000397
0.998	56483.028334	57.164919	0.550789	0.000557
0.999	105642.603129	106.958152	1.030164	0.001043
