#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 20
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	61491.771866	64.991496	1.983828	0.002097
0.050	53203.558355	56.287757	1.716436	0.001816
0.100	46321.076079	49.030948	1.494396	0.001582
0.150	40426.041816	42.765825	1.304212	0.001380
0.200	35419.297203	37.392963	1.142686	0.001206
0.250	30996.528449	32.724664	1.000000	0.001056
0.300	27265.345596	28.766403	0.879626	0.000928
0.350	23838.243103	25.155883	0.769062	0.000812
0.400	20839.384487	21.957857	0.672313	0.000708
0.450	18209.803194	19.220656	0.587479	0.000620
0.500	15794.546703	16.651205	0.509559	0.000537
0.550	13635.972629	14.399013	0.439919	0.000465
0.600	11651.197265	12.277985	0.375887	0.000396
0.650	9872.730985	10.386152	0.318511	0.000335
0.700	8211.988680	8.628605	0.264933	0.000278
0.750	6680.871746	7.023930	0.215536	0.000227
0.800	5284.454610	5.529427	0.170485	0.000178
0.810	5012.945163	5.240988	0.161726	0.000169
0.820	4751.984895	4.966549	0.153307	0.000160
0.830	4492.730658	4.694118	0.144943	0.000151
0.840	4240.723603	4.424614	0.136813	0.000143
0.850	3984.498604	4.149905	0.128547	0.000134
0.860	3739.628470	3.895782	0.120647	0.000126
0.870	3502.948098	3.646716	0.113011	0.000118
0.880	3263.334333	3.389470	0.105281	0.000109
0.890	3028.121845	3.141292	0.097692	0.000101
0.900	2797.605355	2.899603	0.090255	0.000094
0.910	2580.703388	2.669733	0.083258	0.000086
0.920	2359.394812	2.432913	0.076118	0.000078
0.930	2137.058164	2.196563	0.068945	0.000071
0.940	1930.802461	1.979794	0.062291	0.000064
0.950	1734.219582	1.773336	0.055949	0.000057
0.960	1545.221704	1.572279	0.049851	0.000051
0.970	1375.221712	1.396467	0.044367	0.000045
0.980	1249.576972	1.267186	0.040313	0.000041
0.990	1317.216526	1.374161	0.042496	0.000044
0.991	1356.198722	1.421324	0.043753	0.000046
0.992	1415.779382	1.497988	0.045675	0.000048
0.993	1496.700962	1.596507	0.048286	0.000052
0.994	1610.887575	1.740320	0.051970	0.000056
0.995	1785.269077	1.952431	0.057596	0.000063
0.996	2059.370027	2.287665	0.066439	0.000074
0.997	2532.367103	2.857370	0.081698	0.000092
0.998	3496.264359	4.032514	0.112795	0.000130
0.999	6438.752908	7.597716	0.207725	0.000245
