#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 15
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	74992.307608	78.429456	1.983582	0.002074
0.050	64781.844156	67.661610	1.713511	0.001790
0.100	56391.356482	59.020825	1.491578	0.001561
0.150	49423.431114	51.660154	1.307273	0.001366
0.200	43146.633952	45.047471	1.141249	0.001192
0.250	37806.500578	39.494340	1.000000	0.001045
0.300	33278.967249	34.754388	0.880245	0.000919
0.350	29181.940845	30.510360	0.771876	0.000807
0.400	25549.816159	26.683625	0.675805	0.000706
0.450	22277.876374	23.248406	0.589260	0.000615
0.500	19352.551179	20.168873	0.511884	0.000533
0.550	16690.942734	17.406549	0.441483	0.000460
0.600	14259.046221	14.870621	0.377159	0.000393
0.650	12074.846145	12.598200	0.319385	0.000333
0.700	10063.942266	10.467337	0.266196	0.000277
0.750	8232.618056	8.560677	0.217757	0.000226
0.800	6511.930463	6.757794	0.172244	0.000179
0.810	6189.345789	6.416764	0.163711	0.000170
0.820	5871.055445	6.064032	0.155292	0.000160
0.830	5558.010842	5.742864	0.147012	0.000152
0.840	5248.794171	5.434542	0.138833	0.000144
0.850	4948.440922	5.110112	0.130889	0.000135
0.860	4650.992077	4.804638	0.123021	0.000127
0.870	4353.873861	4.484634	0.115162	0.000119
0.880	4068.250739	4.192755	0.107607	0.000111
0.890	3781.698352	3.883842	0.100028	0.000103
0.900	3509.517325	3.607117	0.092828	0.000095
0.910	3224.965648	3.311893	0.085302	0.000088
0.920	2966.185313	3.034225	0.078457	0.000080
0.930	2713.799337	2.772451	0.071781	0.000073
0.940	2466.238460	2.513480	0.065233	0.000066
0.950	2223.311335	2.255733	0.058808	0.000060
0.960	2003.473210	2.027994	0.052993	0.000054
0.970	1806.018787	1.823366	0.047770	0.000048
0.980	1666.748895	1.684276	0.044086	0.000045
0.990	1783.133995	1.845641	0.047165	0.000049
0.991	1842.531820	1.912280	0.048736	0.000051
0.992	1924.223341	2.011324	0.050897	0.000053
0.993	2038.906654	2.147574	0.053930	0.000057
0.994	2207.332502	2.342378	0.058385	0.000062
0.995	2447.177599	2.620149	0.064729	0.000069
0.996	2827.322508	3.066855	0.074784	0.000081
0.997	3491.292697	3.836836	0.092346	0.000101
0.998	4840.264303	5.398223	0.128027	0.000143
0.999	8940.184072	10.140347	0.236472	0.000268
