#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 10
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	94309.805853	97.493885	1.975812	0.002043
0.050	81670.628357	84.472814	1.711018	0.001770
0.100	70989.569059	73.495489	1.487248	0.001540
0.150	62070.206541	64.128398	1.300385	0.001344
0.200	54409.146170	56.335775	1.139884	0.001180
0.250	47732.174377	49.364735	1.000000	0.001034
0.300	41877.402973	43.305479	0.877341	0.000907
0.350	36767.966237	37.971663	0.770297	0.000796
0.400	32224.511745	33.265813	0.675111	0.000697
0.450	28139.334942	29.028740	0.589526	0.000608
0.500	24443.862333	25.229688	0.512105	0.000529
0.550	21139.666205	21.811911	0.442881	0.000457
0.600	18128.805265	18.670105	0.379803	0.000391
0.650	15385.177709	15.848973	0.322323	0.000332
0.700	12841.893305	13.207374	0.269041	0.000277
0.750	10519.007927	10.801022	0.220376	0.000226
0.800	8401.565452	8.619972	0.176015	0.000181
0.810	7973.171009	8.172828	0.167040	0.000171
0.820	7578.175557	7.778230	0.158765	0.000163
0.830	7189.303111	7.357625	0.150618	0.000154
0.840	6816.427976	6.971849	0.142806	0.000146
0.850	6440.201295	6.588191	0.134924	0.000138
0.860	6073.554899	6.200520	0.127242	0.000130
0.870	5711.918506	5.829866	0.119666	0.000122
0.880	5340.797455	5.448485	0.111891	0.000114
0.890	4997.044697	5.102826	0.104689	0.000107
0.900	4650.864072	4.729844	0.097437	0.000099
0.910	4322.831908	4.390314	0.090564	0.000092
0.920	3999.664837	4.061920	0.083794	0.000085
0.930	3682.483601	3.732266	0.077149	0.000078
0.940	3392.454797	3.433779	0.071073	0.000072
0.950	3102.115846	3.136379	0.064990	0.000066
0.960	2839.184841	2.858649	0.059482	0.000060
0.970	2606.795896	2.626589	0.054613	0.000055
0.980	2452.194728	2.472125	0.051374	0.000052
0.990	2685.607540	2.745001	0.056264	0.000058
0.991	2783.792236	2.854838	0.058321	0.000060
0.992	2920.472427	3.011764	0.061185	0.000063
0.993	3100.680922	3.212987	0.064960	0.000067
0.994	3359.975094	3.501226	0.070392	0.000073
0.995	3740.474333	3.924827	0.078364	0.000082
0.996	4344.385403	4.594782	0.091016	0.000096
0.997	5359.438761	5.727500	0.112281	0.000120
0.998	7464.917845	8.050146	0.156392	0.000169
0.999	13862.863995	15.155749	0.290430	0.000318
