#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 3
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	150716.652477	152.991323	1.949685	0.001979
0.050	130871.369147	132.886795	1.692965	0.001719
0.100	114167.313350	116.085891	1.476880	0.001502
0.150	99984.849561	101.575718	1.293414	0.001314
0.200	87725.653145	89.082409	1.134828	0.001152
0.250	77303.062968	78.553920	1.000000	0.001016
0.300	68160.913972	69.344306	0.881736	0.000897
0.350	60067.050094	60.964560	0.777033	0.000789
0.400	52907.588001	53.760127	0.684418	0.000695
0.450	46342.281998	47.060473	0.599488	0.000609
0.500	40648.688403	41.237793	0.525835	0.000533
0.550	35461.364863	35.989618	0.458732	0.000466
0.600	30604.106059	30.993038	0.395898	0.000401
0.650	26335.385012	26.667512	0.340677	0.000345
0.700	22397.765279	22.630710	0.289740	0.000293
0.750	18805.648344	19.003768	0.243272	0.000246
0.800	15531.359172	15.656621	0.200915	0.000203
0.810	14948.919282	15.078986	0.193381	0.000195
0.820	14386.652299	14.512471	0.186107	0.000188
0.830	13753.729039	13.903792	0.177920	0.000180
0.840	13180.774832	13.292891	0.170508	0.000172
0.850	12628.185754	12.721845	0.163359	0.000165
0.860	12078.520118	12.163622	0.156249	0.000157
0.870	11551.447850	11.613660	0.149431	0.000150
0.880	11035.875130	11.094829	0.142761	0.000144
0.890	10526.682304	10.572422	0.136174	0.000137
0.900	10060.385208	10.096224	0.130142	0.000131
0.910	9582.469631	9.624436	0.123960	0.000125
0.920	9139.187458	9.158642	0.118225	0.000118
0.930	8707.535180	8.728176	0.112642	0.000113
0.940	8301.918320	8.317205	0.107394	0.000108
0.950	7922.830630	7.933864	0.102491	0.000103
0.960	7576.264785	7.583652	0.098007	0.000098
0.970	7316.575232	7.322278	0.094648	0.000095
0.980	7215.193810	7.234128	0.093336	0.000094
0.990	8257.055351	8.318907	0.106814	0.000108
0.991	8587.464979	8.658525	0.111088	0.000112
0.992	9053.014644	9.144989	0.117111	0.000118
0.993	9649.420125	9.767213	0.124826	0.000126
0.994	10539.213388	10.689417	0.136336	0.000138
0.995	11761.593224	11.968342	0.152149	0.000155
0.996	13724.496892	13.974760	0.177541	0.000181
0.997	17027.867113	17.404746	0.220274	0.000225
0.998	23781.854949	24.421087	0.307644	0.000316
0.999	44394.110212	45.728680	0.574287	0.000592
