#System variables:
#Boundary type: 2	Alpha = 0.300000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1439.976611	1.751599	1.846459	0.002246
0.050	1258.000001	1.527727	1.613113	0.001959
0.100	1107.322877	1.340351	1.419902	0.001719
0.150	982.066847	1.186175	1.259288	0.001521
0.200	871.351509	1.048728	1.117320	0.001345
0.250	779.858509	0.936531	1.000000	0.001201
0.300	696.263963	0.830979	0.892808	0.001066
0.350	623.541892	0.741710	0.799558	0.000951
0.400	559.827287	0.664889	0.717858	0.000853
0.450	502.167371	0.591994	0.643921	0.000759
0.500	452.106592	0.530527	0.579729	0.000680
0.550	405.927699	0.472359	0.520515	0.000606
0.600	366.391467	0.422544	0.469818	0.000542
0.650	330.502011	0.377952	0.423797	0.000485
0.700	299.396496	0.339692	0.383911	0.000436
0.750	273.314250	0.307161	0.350466	0.000394
0.800	252.660052	0.280109	0.323982	0.000359
0.850	239.479443	0.262275	0.307081	0.000336
0.900	243.352945	0.263590	0.312048	0.000338
0.950	309.436766	0.337485	0.396786	0.000433
