#System variables:
#Boundary type: 2	Alpha = 0.900000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1284.868212	1.565591	1.848898	0.002253
0.050	1125.811816	1.368686	1.620020	0.001970
0.100	991.482244	1.204290	1.426722	0.001733
0.150	876.021754	1.056151	1.260577	0.001520
0.200	781.160951	0.938181	1.124074	0.001350
0.250	694.937149	0.831849	1.000000	0.001197
0.300	620.804419	0.742858	0.893325	0.001069
0.350	556.384638	0.661687	0.800626	0.000952
0.400	499.372346	0.592095	0.718586	0.000852
0.450	448.699306	0.530267	0.645669	0.000763
0.500	404.076388	0.472295	0.581457	0.000680
0.550	363.490500	0.424390	0.523055	0.000611
0.600	327.031399	0.377268	0.470591	0.000543
0.650	296.023423	0.339159	0.425972	0.000488
0.700	267.769220	0.303643	0.385314	0.000437
0.750	244.559308	0.274623	0.351916	0.000395
0.800	226.200367	0.251069	0.325498	0.000361
0.850	214.469170	0.234313	0.308617	0.000337
0.900	218.230730	0.236126	0.314029	0.000340
0.950	278.074877	0.303155	0.400144	0.000436
