#System variables:
#Boundary type: 2	Alpha = 0.100000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1899.540747	2.324353	1.850244	0.002264
0.050	1660.221208	2.024450	1.617135	0.001972
0.100	1462.490655	1.775824	1.424536	0.001730
0.150	1296.255005	1.568198	1.262615	0.001528
0.200	1150.291264	1.393812	1.120439	0.001358
0.250	1026.643270	1.236734	1.000000	0.001205
0.300	917.565561	1.103663	0.893753	0.001075
0.350	821.822317	0.979753	0.800495	0.000954
0.400	737.645727	0.876092	0.718502	0.000853
0.450	661.868476	0.783140	0.644692	0.000763
0.500	594.911694	0.699045	0.579473	0.000681
0.550	535.128594	0.625472	0.521241	0.000609
0.600	482.034105	0.559037	0.469524	0.000545
0.650	434.918194	0.500802	0.423631	0.000488
0.700	394.102265	0.448705	0.383875	0.000437
0.750	359.792201	0.404978	0.350455	0.000394
0.800	332.098629	0.369328	0.323480	0.000360
0.850	315.423931	0.346839	0.307238	0.000338
0.900	319.507832	0.346910	0.311216	0.000338
0.950	406.790121	0.445816	0.396233	0.000434
