#System variables:
#Boundary type: 2	Alpha = 0.400000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1382.234443	1.684540	1.850369	0.002255
0.050	1208.386448	1.467073	1.617642	0.001964
0.100	1064.870975	1.285500	1.425521	0.001721
0.150	941.419790	1.136600	1.260260	0.001522
0.200	836.860753	1.005933	1.120288	0.001347
0.250	747.004714	0.896983	1.000000	0.001201
0.300	667.969983	0.796951	0.894198	0.001067
0.350	598.409753	0.712738	0.801079	0.000954
0.400	536.581604	0.636711	0.718311	0.000852
0.450	482.154895	0.569485	0.645451	0.000762
0.500	432.563155	0.505596	0.579063	0.000677
0.550	390.673371	0.454239	0.522986	0.000608
0.600	352.849381	0.407269	0.472352	0.000545
0.650	317.071030	0.362525	0.424457	0.000485
0.700	288.086896	0.325824	0.385656	0.000436
0.750	262.440121	0.294088	0.351323	0.000394
0.800	242.470644	0.269310	0.324591	0.000361
0.850	230.412768	0.252305	0.308449	0.000338
0.900	233.900730	0.253340	0.313118	0.000339
0.950	298.008453	0.325065	0.398938	0.000435
