#System variables:
#Boundary type: 2	Alpha = 0.500000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1345.541773	1.636063	1.847005	0.002246
0.050	1177.855158	1.428455	1.616824	0.001961
0.100	1038.672837	1.258067	1.425771	0.001727
0.150	918.141445	1.107648	1.260319	0.001520
0.200	816.740817	0.984186	1.121128	0.001351
0.250	728.499221	0.872273	1.000000	0.001197
0.300	649.831548	0.775400	0.892014	0.001064
0.350	582.400682	0.693226	0.799453	0.000952
0.400	524.230622	0.620474	0.719604	0.000852
0.450	470.739139	0.554830	0.646177	0.000762
0.500	423.356332	0.495737	0.581135	0.000680
0.550	381.615613	0.443874	0.523838	0.000609
0.600	343.352715	0.396999	0.471315	0.000545
0.650	309.606475	0.354499	0.424992	0.000487
0.700	280.586694	0.317869	0.385157	0.000436
0.750	256.066939	0.287056	0.351499	0.000394
0.800	236.350482	0.261319	0.324435	0.000359
0.850	224.384073	0.245580	0.308009	0.000337
0.900	228.256637	0.247663	0.313324	0.000340
0.950	291.589285	0.318141	0.400260	0.000437
