#System variables:
#Boundary type: 2	Alpha = 0.200000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1552.627661	1.887319	1.849505	0.002248
0.050	1359.035423	1.646703	1.618896	0.001962
0.100	1194.842458	1.445903	1.423308	0.001722
0.150	1060.271909	1.279943	1.263006	0.001525
0.200	942.145141	1.133408	1.122292	0.001350
0.250	839.482935	1.007680	1.000000	0.001200
0.300	750.432765	0.896598	0.893923	0.001068
0.350	673.110443	0.801502	0.801816	0.000955
0.400	603.093321	0.714605	0.718410	0.000851
0.450	542.925129	0.639214	0.646738	0.000761
0.500	488.386639	0.572037	0.581771	0.000681
0.550	438.861276	0.510873	0.522776	0.000609
0.600	395.899786	0.456896	0.471600	0.000544
0.650	357.022082	0.408466	0.425288	0.000487
0.700	322.893974	0.366282	0.384634	0.000436
0.750	295.175860	0.330665	0.351616	0.000394
0.800	272.238744	0.301571	0.324293	0.000359
0.850	258.628668	0.283390	0.308081	0.000338
0.900	262.813551	0.285050	0.313066	0.000340
0.950	333.656957	0.364161	0.397455	0.000434
