#System variables:
#Boundary type: 2	Alpha = 0.600000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1323.951221	1.614665	1.848609	0.002255
0.050	1157.737806	1.408358	1.616528	0.001966
0.100	1019.573746	1.234339	1.423612	0.001723
0.150	903.534507	1.090135	1.261589	0.001522
0.200	803.717397	0.967749	1.122216	0.001351
0.250	716.187783	0.859742	1.000000	0.001200
0.300	639.462366	0.763757	0.892870	0.001066
0.350	573.016643	0.681571	0.800093	0.000952
0.400	514.660343	0.608179	0.718611	0.000849
0.450	462.399333	0.543349	0.645640	0.000759
0.500	414.444208	0.484606	0.578681	0.000677
0.550	374.003906	0.435017	0.522215	0.000607
0.600	337.126026	0.389344	0.470723	0.000544
0.650	304.490046	0.348034	0.425154	0.000486
0.700	276.071788	0.312960	0.385474	0.000437
0.750	251.949847	0.282257	0.351793	0.000394
0.800	232.426595	0.257161	0.324533	0.000359
0.850	220.985532	0.241981	0.308558	0.000338
0.900	224.804983	0.243342	0.313891	0.000340
0.950	285.630258	0.311826	0.398820	0.000435
