#System variables:
#Boundary type: 1
#System Length: 1000
#Detection Radius: 1
#Ensembles: 1000000

#rlp	p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.001	0.250	1314509.947984	1314.553555	1.000000	0.001000
0.010	0.900	577366.470506	576.708316	0.439226	0.000439
0.020	0.950	525840.007329	525.590927	0.400027	0.000400
0.030	0.967	509038.554819	509.185608	0.387246	0.000387
0.040	0.975	500076.188209	500.801395	0.380428	0.000381
0.050	0.980	494529.481064	494.925610	0.376208	0.000377
0.060	0.983	491726.699202	491.826863	0.374076	0.000374
0.070	0.986	489590.736298	489.348547	0.372451	0.000372
0.080	0.988	487412.217373	487.384856	0.370794	0.000371
0.090	0.989	486145.987655	486.074066	0.369831	0.000370
0.100	0.990	484503.080271	484.515641	0.368581	0.000369
0.110	0.991	484758.063393	484.987449	0.368775	0.000369
0.120	0.992	483704.782833	483.974186	0.367973	0.000368
0.130	0.992	483132.702707	483.355063	0.367538	0.000368
0.140	0.993	482815.593504	482.509837	0.367297	0.000367
0.150	0.993	484378.565096	485.124192	0.368486	0.000369
0.160	0.994	483886.342348	483.919981	0.368112	0.000368
0.170	0.994	484753.260727	484.623734	0.368771	0.000369
0.180	0.994	486734.552655	487.129030	0.370278	0.000371
0.190	0.995	487872.977955	487.056560	0.371144	0.000371
0.200	0.995	488215.185106	488.223669	0.371405	0.000371
0.210	0.995	490415.696156	490.872134	0.373079	0.000373
0.220	0.995	491425.044375	491.269996	0.373847	0.000374
0.230	0.996	494021.380391	494.236208	0.375822	0.000376
0.240	0.996	495631.641068	497.006088	0.377047	0.000378
0.250	0.996	498108.759329	498.658470	0.378931	0.000379
0.260	0.996	501928.505028	501.906836	0.381837	0.000382
0.270	0.996	504521.195477	505.236920	0.383809	0.000384
0.280	0.996	508241.179678	508.962874	0.386639	0.000387
0.290	0.997	509348.682050	509.524514	0.387482	0.000388
0.300	0.997	514322.459076	514.634662	0.391266	0.000392
0.310	0.997	516980.014157	518.181931	0.393287	0.000394
0.320	0.997	520434.534621	520.305968	0.395915	0.000396
0.330	0.997	523760.099696	524.591331	0.398445	0.000399
0.340	0.997	527272.986222	527.022620	0.401118	0.000401
0.350	0.997	532279.983177	532.600677	0.404927	0.000405
0.360	0.997	536195.130797	536.617203	0.407905	0.000408
0.370	0.997	539985.750398	540.928532	0.410789	0.000412
0.380	0.997	542767.200151	543.685775	0.412905	0.000414
0.390	0.997	548167.890690	548.496174	0.417013	0.000417
0.400	0.998	552132.963791	552.403083	0.420030	0.000420
0.410	0.998	555914.003613	555.707301	0.422906	0.000423
0.420	0.998	561036.304916	560.784662	0.426803	0.000427
0.430	0.998	566100.235205	566.711898	0.430655	0.000431
0.440	0.998	569779.582169	570.292240	0.433454	0.000434
0.450	0.998	575809.656719	575.889173	0.438041	0.000438
0.460	0.998	578815.193679	580.289500	0.440328	0.000441
0.470	0.998	585327.332320	586.744473	0.445282	0.000446
0.480	0.998	590005.360948	589.419405	0.448841	0.000448
0.490	0.998	593729.234563	593.643945	0.451673	0.000452
0.500	0.998	598858.115523	600.194504	0.455575	0.000457
0.510	0.998	603810.855105	604.683738	0.459343	0.000460
0.520	0.998	610244.607919	611.117335	0.464237	0.000465
0.530	0.998	614975.952466	616.861169	0.467837	0.000469
0.540	0.998	619160.232715	620.432861	0.471020	0.000472
0.550	0.998	624360.100928	625.572126	0.474976	0.000476
0.560	0.998	630927.211476	632.060263	0.479971	0.000481
0.570	0.998	636408.075111	637.103254	0.484141	0.000485
0.580	0.998	641489.270208	643.486162	0.488006	0.000490
0.590	0.998	646096.987864	646.698736	0.491512	0.000492
0.600	0.998	651944.518804	653.002984	0.495960	0.000497
