#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#rlp	p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.007	0.250	50829.204105	50.845268	1.000000	0.001000
0.010	0.500	38776.288519	38.764985	0.762874	0.000763
0.020	0.750	28377.815898	28.352422	0.558297	0.000558
0.030	0.833	24966.198065	24.981870	0.491178	0.000491
0.040	0.875	23231.184887	23.250226	0.457044	0.000457
0.050	0.900	22196.355678	22.214495	0.436685	0.000437
0.060	0.917	21498.191901	21.469256	0.422950	0.000422
0.070	0.929	21020.021676	21.062913	0.413542	0.000414
0.080	0.938	20680.144741	20.670496	0.406856	0.000407
0.090	0.944	20416.318424	20.455969	0.401665	0.000402
0.100	0.950	20222.470190	20.244628	0.397851	0.000398
0.110	0.955	20100.452003	20.129350	0.395451	0.000396
0.120	0.958	19939.994826	19.932660	0.392294	0.000392
0.130	0.962	19874.212344	19.871183	0.391000	0.000391
0.140	0.964	19815.179311	19.817836	0.389838	0.000390
0.150	0.967	19730.839002	19.709946	0.388179	0.000388
0.160	0.969	19709.001891	19.713218	0.387750	0.000388
0.170	0.971	19674.291132	19.691792	0.387067	0.000387
0.180	0.972	19686.817180	19.699042	0.387313	0.000388
0.190	0.974	19670.648111	19.686143	0.386995	0.000387
0.200	0.975	19742.549969	19.757592	0.388410	0.000389
0.210	0.976	19744.224825	19.776550	0.388443	0.000389
0.220	0.977	19812.274554	19.827587	0.389781	0.000390
0.230	0.978	19886.503296	19.913676	0.391242	0.000392
0.240	0.979	19990.928425	20.014257	0.393296	0.000394
0.250	0.980	20056.018912	20.104949	0.394577	0.000396
0.260	0.981	20112.981789	20.181372	0.395697	0.000397
0.270	0.981	20239.242044	20.293789	0.398181	0.000399
0.280	0.982	20272.605712	20.290315	0.398838	0.000399
0.290	0.983	20417.491343	20.486166	0.401688	0.000403
0.300	0.983	20535.138645	20.624339	0.404003	0.000406
0.310	0.984	20669.093004	20.711190	0.406638	0.000407
0.320	0.984	20813.140893	20.830440	0.409472	0.000410
0.330	0.985	20917.958551	21.007861	0.411534	0.000413
0.340	0.985	21067.795209	21.134428	0.414482	0.000416
0.360	0.986	21392.221027	21.465910	0.420865	0.000422
0.370	0.986	21537.516415	21.605394	0.423723	0.000425
0.350	0.986	21213.907289	21.283775	0.417357	0.000419
0.380	0.987	21680.433528	21.736645	0.426535	0.000428
0.390	0.987	21832.020411	21.918967	0.429517	0.000431
0.400	0.988	22007.162293	22.107482	0.432963	0.000435
0.410	0.988	22207.656540	22.274083	0.436907	0.000438
0.420	0.988	22338.044829	22.414639	0.439473	0.000441
0.430	0.988	22505.170825	22.577423	0.442761	0.000444
0.450	0.989	22830.533519	22.912078	0.449162	0.000451
0.440	0.989	22703.986670	22.807672	0.446672	0.000449
0.460	0.989	23088.278504	23.154877	0.454233	0.000456
0.470	0.989	23234.665831	23.378459	0.457113	0.000460
0.480	0.990	23465.019585	23.546895	0.461644	0.000463
0.490	0.990	23622.564676	23.732756	0.464744	0.000467
0.510	0.990	24014.360023	24.124952	0.472452	0.000475
0.500	0.990	23838.143173	23.931370	0.468985	0.000471
0.520	0.990	24230.290694	24.333836	0.476700	0.000479
0.540	0.991	24636.965480	24.747806	0.484701	0.000487
0.550	0.991	24815.585883	24.942955	0.488215	0.000491
0.560	0.991	25043.320720	25.157362	0.492696	0.000495
0.530	0.991	24418.519698	24.512708	0.480403	0.000482
0.570	0.991	25264.917160	25.393690	0.497055	0.000500
0.580	0.991	25424.662858	25.594957	0.500198	0.000504
0.590	0.992	25680.149738	25.855048	0.505224	0.000509
0.600	0.992	25865.301841	26.034482	0.508867	0.000512
0.610	0.992	26040.327737	26.207296	0.512310	0.000516
0.620	0.992	26309.936601	26.476710	0.517615	0.000521
0.630	0.992	26513.819453	26.710400	0.521626	0.000525
0.650	0.992	26948.779579	27.112966	0.530183	0.000533
0.660	0.992	27152.030446	27.376389	0.534182	0.000539
0.640	0.992	26768.171733	26.946447	0.526630	0.000530
0.670	0.993	27368.054579	27.582509	0.538432	0.000543
0.680	0.993	27646.345336	27.831711	0.543907	0.000548
0.690	0.993	27791.567951	28.000782	0.546764	0.000551
0.710	0.993	28248.244217	28.443043	0.555748	0.000560
0.720	0.993	28501.657428	28.701040	0.560734	0.000565
0.740	0.993	28966.349945	29.159623	0.569876	0.000574
0.750	0.993	29231.993152	29.450571	0.575102	0.000579
0.760	0.993	29316.492971	29.495875	0.576765	0.000580
0.700	0.993	28085.867095	28.299559	0.552554	0.000557
0.730	0.993	28713.576852	28.894364	0.564903	0.000568
0.770	0.994	29622.666426	29.790815	0.582788	0.000586
0.780	0.994	29848.429188	30.149798	0.587230	0.000593
0.790	0.994	30112.445786	30.303783	0.592424	0.000596
0.800	0.994	30311.297995	30.538898	0.596336	0.000601
0.810	0.994	30510.646652	30.765187	0.600258	0.000605
0.820	0.994	30739.745265	30.977162	0.604765	0.000609
0.830	0.994	31022.645817	31.218396	0.610331	0.000614
0.840	0.994	31284.155786	31.540141	0.615476	0.000621
0.850	0.994	31438.032393	31.665049	0.618503	0.000623
0.860	0.994	31679.485789	31.990969	0.623254	0.000629
0.870	0.994	31937.572980	32.175888	0.628331	0.000633
0.880	0.994	32165.887284	32.397832	0.632823	0.000637
0.890	0.994	32435.086071	32.716949	0.638119	0.000644
0.900	0.994	32602.120598	32.862061	0.641405	0.000647
0.920	0.995	33052.463145	33.373349	0.650265	0.000657
0.910	0.995	32840.438066	33.106629	0.646094	0.000651
0.930	0.995	33369.313635	33.676525	0.656499	0.000663
0.940	0.995	33575.023890	33.883992	0.660546	0.000667
0.950	0.995	33758.484493	34.086620	0.664155	0.000671
0.960	0.995	34013.331449	34.265062	0.669169	0.000674
0.970	0.995	34294.697790	34.561746	0.674705	0.000680
0.980	0.995	34517.458072	34.860358	0.679087	0.000686
0.990	0.995	34776.865907	35.050188	0.684191	0.000690
1.000	0.995	34947.352247	35.288969	0.687545	0.000694
