#System variables:
#Boundary type: 1
#System Length: 100
#Detection Radius: 1
#Ensembles: 1000000

#rlp	p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.010	0.000	15858.368140	15.834778	1.293328	0.001291
0.013	0.250	12261.677976	12.228653	1.000000	0.000997
0.020	0.500	9465.246930	9.482807	0.771937	0.000773
0.030	0.667	7716.661593	7.728834	0.629332	0.000630
0.040	0.750	6816.629668	6.834496	0.555930	0.000557
0.050	0.800	6293.137129	6.305725	0.513236	0.000514
0.060	0.833	5942.268518	5.956290	0.484621	0.000486
0.070	0.857	5700.299496	5.716929	0.464887	0.000466
0.080	0.875	5537.134382	5.546757	0.451580	0.000452
0.090	0.889	5412.905685	5.425964	0.441449	0.000443
0.100	0.900	5310.936749	5.320019	0.433133	0.000434
0.110	0.909	5228.817695	5.237571	0.426436	0.000427
0.120	0.917	5162.182929	5.167940	0.421001	0.000421
0.130	0.923	5122.880933	5.125762	0.417796	0.000418
0.140	0.929	5075.470581	5.090070	0.413930	0.000415
0.150	0.933	5051.587853	5.062547	0.411982	0.000413
0.160	0.938	5021.023119	5.032812	0.409489	0.000410
0.170	0.941	5006.797999	5.026177	0.408329	0.000410
0.180	0.944	4993.699627	5.003550	0.407261	0.000408
0.190	0.947	4986.073020	4.990485	0.406639	0.000407
0.200	0.950	4986.800353	4.997343	0.406698	0.000408
0.210	0.952	4993.731462	5.009131	0.407263	0.000409
0.220	0.955	4991.408210	5.009191	0.407074	0.000409
0.230	0.957	5004.784205	5.019067	0.408165	0.000409
0.240	0.958	5014.272088	5.036548	0.408938	0.000411
0.250	0.960	5033.859730	5.049792	0.410536	0.000412
0.260	0.962	5048.110441	5.067421	0.411698	0.000413
0.270	0.963	5070.461545	5.090026	0.413521	0.000415
0.280	0.964	5088.081722	5.107002	0.414958	0.000417
0.290	0.966	5120.492863	5.136509	0.417601	0.000419
0.300	0.967	5140.064864	5.165075	0.419198	0.000421
0.310	0.968	5165.006171	5.191491	0.421232	0.000423
0.320	0.969	5176.975984	5.205503	0.422208	0.000425
