#System variables:
#Boundary type: 1
#System Length: 500
#Detection Radius: 1
#Ensembles: 1000000

#rlp	p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.003	0.250	327036.675619	327.036919	1.000000	0.001000
0.010	0.800	168340.554436	168.251722	0.514745	0.000514
0.020	0.900	143092.331880	143.152401	0.437542	0.000438
0.030	0.933	134264.036829	134.082044	0.410547	0.000410
0.040	0.950	129976.649322	129.944155	0.397438	0.000397
0.050	0.960	127532.018183	127.537815	0.389962	0.000390
0.060	0.967	125822.792661	125.850615	0.384736	0.000385
0.070	0.971	124600.252249	124.841490	0.380998	0.000382
0.080	0.975	123846.200453	123.806678	0.378692	0.000379
0.090	0.978	122960.019031	122.810048	0.375982	0.000376
0.100	0.980	122626.765234	122.587429	0.374963	0.000375
0.110	0.982	122109.092504	122.257859	0.373380	0.000374
0.120	0.983	121977.274681	122.220857	0.372977	0.000374
0.130	0.985	121744.411924	121.730265	0.372265	0.000372
0.140	0.986	121739.678440	121.909236	0.372251	0.000373
0.150	0.987	121671.409622	121.774814	0.372042	0.000372
0.160	0.988	121420.718817	121.569317	0.371276	0.000372
0.170	0.988	121763.762450	121.626165	0.372324	0.000372
0.180	0.989	121830.295618	121.880055	0.372528	0.000373
0.190	0.989	122177.375772	122.208497	0.373589	0.000374
0.200	0.990	122622.035762	122.482288	0.374949	0.000375
0.210	0.990	122675.262336	122.700266	0.375112	0.000375
0.220	0.991	123177.594265	123.011474	0.376648	0.000376
0.230	0.991	123801.023052	123.848114	0.378554	0.000379
0.240	0.992	124445.618292	124.563793	0.380525	0.000381
0.250	0.992	124903.485198	124.964725	0.381925	0.000382
0.260	0.992	125657.659644	125.709010	0.384231	0.000384
0.270	0.993	126177.076273	126.275125	0.385819	0.000386
0.280	0.993	126985.327371	126.970819	0.388291	0.000388
0.290	0.993	127695.118748	127.833654	0.390461	0.000391
0.300	0.993	128572.551818	128.673635	0.393144	0.000393
0.310	0.994	129207.333056	129.369879	0.395085	0.000396
0.320	0.994	129878.493012	129.990203	0.397137	0.000397
0.330	0.994	130902.873846	130.984516	0.400270	0.000401
0.340	0.994	131824.016611	132.020082	0.403086	0.000404
0.350	0.994	132865.661488	133.139966	0.406271	0.000407
0.360	0.994	134049.436915	134.252586	0.409891	0.000411
0.370	0.995	134865.820542	135.380678	0.412387	0.000414
0.380	0.995	135767.661644	136.004772	0.415145	0.000416
0.390	0.995	137032.708527	137.219742	0.419013	0.000420
0.400	0.995	138115.444123	138.042319	0.422324	0.000422
0.410	0.995	139060.595924	139.688780	0.425214	0.000427
0.420	0.995	140250.518823	140.397069	0.428853	0.000429
0.430	0.995	141294.079248	141.246384	0.432044	0.000432
0.440	0.995	142403.886936	142.593985	0.435437	0.000436
0.450	0.996	143517.886363	143.666644	0.438843	0.000439
0.460	0.996	144806.406254	145.104429	0.442783	0.000444
0.470	0.996	146248.879089	146.750456	0.447194	0.000449
0.480	0.996	147162.806001	147.244457	0.449989	0.000450
0.490	0.996	148428.921835	148.774367	0.453860	0.000455
0.500	0.996	149641.842149	150.031817	0.457569	0.000459
0.510	0.996	151007.800436	151.310207	0.461746	0.000463
0.520	0.996	152018.163616	152.206471	0.464835	0.000465
0.530	0.996	153314.484688	153.436805	0.468799	0.000469
0.540	0.996	154721.235158	154.981243	0.473101	0.000474
0.550	0.996	155706.283114	156.248817	0.476113	0.000478
0.560	0.996	157397.749090	157.618478	0.481285	0.000482
0.570	0.996	158685.477951	159.294118	0.485222	0.000487
0.580	0.997	159412.556980	159.853232	0.487446	0.000489
0.590	0.997	161177.732690	161.794716	0.492843	0.000495
0.600	0.997	162677.948767	163.125436	0.497430	0.000499
0.610	0.997	163835.348322	164.033762	0.500969	0.000502
0.620	0.997	165072.634049	165.328903	0.504753	0.000506
0.630	0.997	166494.910157	166.774976	0.509102	0.000510
0.640	0.997	167913.501347	168.444015	0.513439	0.000515
0.650	0.997	169380.835508	169.877487	0.517926	0.000519
0.660	0.997	170820.029431	171.056429	0.522327	0.000523
0.670	0.997	172039.412913	172.417819	0.526055	0.000527
0.680	0.997	173530.616730	174.224028	0.530615	0.000533
0.690	0.997	175004.986250	175.550390	0.535123	0.000537
0.700	0.997	176128.788107	176.597659	0.538560	0.000540
0.710	0.997	177876.308163	178.433109	0.543903	0.000546
0.720	0.997	179211.147691	179.399917	0.547985	0.000549
0.730	0.997	180577.869745	181.076362	0.552164	0.000554
0.740	0.997	182087.769384	182.519046	0.556781	0.000558
0.750	0.997	183644.211580	184.550098	0.561540	0.000564
0.760	0.997	184957.381258	185.627376	0.565555	0.000568
0.770	0.997	185897.775526	186.619283	0.568431	0.000571
0.780	0.997	187825.780256	188.766299	0.574326	0.000577
0.790	0.997	189044.759071	189.724534	0.578054	0.000580
0.800	0.998	190852.376115	191.532189	0.583581	0.000586
0.810	0.998	192234.603327	192.984527	0.587807	0.000590
0.820	0.998	193840.326810	194.489243	0.592717	0.000595
0.830	0.998	195143.240729	195.612047	0.596701	0.000598
0.840	0.998	196617.872350	197.057364	0.601210	0.000603
0.850	0.998	197954.549426	198.501328	0.605298	0.000607
0.860	0.998	199281.399179	199.669399	0.609355	0.000611
0.870	0.998	201221.832691	202.152354	0.615288	0.000618
0.880	0.998	202404.644718	203.062301	0.618905	0.000621
0.890	0.998	203607.241421	204.095088	0.622582	0.000624
0.900	0.998	205233.786625	205.662432	0.627556	0.000629
0.910	0.998	206563.563079	207.331661	0.631622	0.000634
0.920	0.998	208514.544028	209.035844	0.637588	0.000639
0.930	0.998	210307.508237	211.075000	0.643070	0.000645
0.940	0.998	211189.021756	211.565375	0.645766	0.000647
0.950	0.998	212845.503326	213.950679	0.650831	0.000654
0.960	0.998	214287.553426	215.140520	0.655240	0.000658
0.970	0.998	215705.633218	216.569017	0.659576	0.000662
0.980	0.998	217332.954238	218.183632	0.664552	0.000667
0.990	0.998	218778.166063	219.275617	0.668971	0.000670
1.000	0.998	220007.347399	221.094631	0.672730	0.000676
