#System variables:
#Boundary type: 2	Alpha = 0.900000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	278916.746117	307.446710	1.937213	0.002135
0.050	242202.962855	267.222014	1.682217	0.001856
0.100	211442.675895	233.893077	1.468572	0.001625
0.150	185506.088276	204.290639	1.288430	0.001419
0.200	163526.901545	179.887710	1.135774	0.001249
0.250	143978.393864	158.453880	1.000000	0.001101
0.300	127122.742107	139.564932	0.882929	0.000969
0.350	112316.085475	122.858905	0.780090	0.000853
0.400	99326.507330	108.573297	0.689871	0.000754
0.450	87684.425706	95.688827	0.609011	0.000665
0.500	77193.132207	83.994002	0.536144	0.000583
0.550	67845.147947	73.563580	0.471218	0.000511
0.600	59277.895466	64.151654	0.411714	0.000446
0.650	51497.434105	55.365836	0.357675	0.000385
0.700	44437.193418	47.654482	0.308638	0.000331
0.750	38099.864103	40.474275	0.264622	0.000281
0.800	32406.286580	34.295454	0.225077	0.000238
0.850	27367.080117	28.649885	0.190078	0.000199
0.900	22915.288839	23.743539	0.159158	0.000165
0.950	19577.799645	20.074040	0.135977	0.000139
