#System variables:
#Boundary type: 2	Alpha = 0.100000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	290247.120301	320.193012	1.926110	0.002125
0.050	252584.629797	278.619454	1.676178	0.001849
0.100	220541.096262	243.242459	1.463533	0.001614
0.150	193360.276029	212.604015	1.283159	0.001411
0.200	171035.019794	188.166788	1.135006	0.001249
0.250	150690.851629	165.882252	1.000000	0.001101
0.300	132990.689171	145.998840	0.882540	0.000969
0.350	117829.777090	128.952847	0.781931	0.000856
0.400	104024.372044	113.793458	0.690316	0.000755
0.450	91498.244157	99.734326	0.607192	0.000662
0.500	80560.506871	87.593627	0.534608	0.000581
0.550	70741.819969	76.712488	0.469450	0.000509
0.600	61848.275896	66.860342	0.410432	0.000444
0.650	53637.790533	57.534573	0.355946	0.000382
0.700	46490.068978	49.799544	0.308513	0.000330
0.750	39789.063966	42.320947	0.264044	0.000281
0.800	33808.280256	35.696354	0.224355	0.000237
0.850	28505.441605	29.864220	0.189165	0.000198
0.900	23944.856688	24.831720	0.158901	0.000165
0.950	20455.853699	20.991794	0.135747	0.000139
