#System variables:
#Boundary type: 2	Alpha = 0.700000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	279208.961023	307.691776	1.932741	0.002130
0.050	242141.600002	267.436196	1.676153	0.001851
0.100	211920.911605	233.314288	1.466960	0.001615
0.150	185936.731117	204.519435	1.287092	0.001416
0.200	163831.893224	180.196559	1.134078	0.001247
0.250	144462.674238	158.662549	1.000000	0.001098
0.300	127367.246658	139.691854	0.881662	0.000967
0.350	112565.410392	123.107934	0.779201	0.000852
0.400	99651.116745	108.985533	0.689805	0.000754
0.450	87875.959627	95.913870	0.608295	0.000664
0.500	77395.653611	84.207970	0.535748	0.000583
0.550	67842.180084	73.636631	0.469617	0.000510
0.600	59228.869541	63.809728	0.409994	0.000442
0.650	51583.534489	55.584949	0.357072	0.000385
0.700	44482.599291	47.570403	0.307918	0.000329
0.750	38144.083036	40.600341	0.264041	0.000281
0.800	32411.559301	34.285752	0.224359	0.000237
0.850	27348.563515	28.654301	0.189312	0.000198
0.900	22896.218015	23.716976	0.158492	0.000164
0.950	19574.314814	20.106348	0.135497	0.000139
