#System variables:
#Boundary type: 2	Alpha = 0.600000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	279598.557091	308.924700	1.936299	0.002139
0.050	243013.486847	268.254767	1.682937	0.001858
0.100	212121.962385	234.381251	1.469005	0.001623
0.150	186130.617845	205.343523	1.289007	0.001422
0.200	163844.242537	180.638833	1.134668	0.001251
0.250	144398.424704	158.355085	1.000000	0.001097
0.300	127720.005712	139.921788	0.884497	0.000969
0.350	112758.967876	123.584357	0.780888	0.000856
0.400	99694.391748	108.609136	0.690412	0.000752
0.450	88095.303967	96.105541	0.610085	0.000666
0.500	77410.479130	84.266754	0.536089	0.000584
0.550	67916.493974	73.777242	0.470341	0.000511
0.600	59455.373867	64.260995	0.411745	0.000445
0.650	51586.961389	55.503050	0.357254	0.000384
0.700	44627.825207	47.794831	0.309060	0.000331
0.750	38178.973301	40.658373	0.264400	0.000282
0.800	32471.512082	34.311063	0.224874	0.000238
0.850	27395.603848	28.705014	0.189722	0.000199
0.900	22948.767026	23.754836	0.158927	0.000165
0.950	19601.923596	20.161075	0.135749	0.000140
