#System variables:
#Boundary type: 2	Alpha = 1.000000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	278502.355850	307.282779	1.932334	0.002132
0.050	241598.956110	266.445943	1.676287	0.001849
0.100	211261.611496	232.749129	1.465798	0.001615
0.150	185280.164447	204.101105	1.285530	0.001416
0.200	163439.739578	179.724606	1.133995	0.001247
0.250	144127.404790	158.389846	1.000000	0.001099
0.300	127319.001753	139.541956	0.883378	0.000968
0.350	112334.677446	122.866411	0.779412	0.000852
0.400	99218.559941	108.319927	0.688409	0.000752
0.450	87520.177504	95.557301	0.607242	0.000663
0.500	77103.044136	83.938846	0.534964	0.000582
0.550	67746.483693	73.448491	0.470046	0.000510
0.600	59089.674570	63.881482	0.409982	0.000443
0.650	51366.288844	55.248643	0.356395	0.000383
0.700	44371.387590	47.518571	0.307862	0.000330
0.750	38049.443846	40.535453	0.263999	0.000281
0.800	32401.519526	34.189460	0.224812	0.000237
0.850	27300.996075	28.554431	0.189423	0.000198
0.900	22891.144105	23.742218	0.158826	0.000165
0.950	19571.280224	20.104328	0.135792	0.000139
