#System variables:
#Boundary type: 2	Alpha = 0.400000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	280412.688522	310.314888	1.931640	0.002138
0.050	243524.920568	269.061085	1.677537	0.001853
0.100	212954.031259	234.122913	1.466947	0.001613
0.150	186748.617655	205.117583	1.286430	0.001413
0.200	164539.092809	181.149870	1.133438	0.001248
0.250	145168.166241	158.939863	1.000000	0.001095
0.300	128336.218796	141.026768	0.884052	0.000971
0.350	113387.483108	124.156624	0.781077	0.000855
0.400	100264.466731	109.519748	0.690678	0.000754
0.450	88353.958896	96.382415	0.608632	0.000664
0.500	77858.623223	84.871475	0.536334	0.000585
0.550	68315.677099	74.143355	0.470597	0.000511
0.600	59760.098117	64.627431	0.411661	0.000445
0.650	51787.789495	55.682071	0.356743	0.000384
0.700	44782.935498	48.001409	0.308490	0.000331
0.750	38347.846728	40.782082	0.264162	0.000281
0.800	32619.364275	34.422774	0.224701	0.000237
0.850	27488.835977	28.719758	0.189359	0.000198
0.900	23058.962873	23.856249	0.158843	0.000164
0.950	19690.272979	20.244252	0.135638	0.000139
