#System variables:
#Boundary type: 2	Alpha = 0.300000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	281728.160765	310.627672	1.932600	0.002131
0.050	244812.030584	270.026078	1.679362	0.001852
0.100	213916.763305	235.751905	1.467427	0.001617
0.150	187747.333300	207.104975	1.287910	0.001421
0.200	165459.437358	181.998640	1.135019	0.001248
0.250	145776.778355	159.806851	1.000000	0.001096
0.300	128870.066657	141.658542	0.884023	0.000972
0.350	113619.841305	124.297642	0.779410	0.000853
0.400	100673.557517	110.157000	0.690601	0.000756
0.450	88724.082131	96.856567	0.608630	0.000664
0.500	78137.359416	85.012765	0.536007	0.000583
0.550	68562.959628	74.315449	0.470328	0.000510
0.600	59954.270967	64.779307	0.411274	0.000444
0.650	52002.049481	55.901699	0.356724	0.000383
0.700	44960.964303	48.216205	0.308423	0.000331
0.750	38470.402395	40.908309	0.263899	0.000281
0.800	32798.669232	34.657531	0.224992	0.000238
0.850	27609.778539	28.879782	0.189398	0.000198
0.900	23144.514523	23.984304	0.158767	0.000165
0.950	19763.169335	20.335596	0.135571	0.000139
