#System variables:
#Boundary type: 1
#System Length: 20.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	538.972923	0.551917	1.000000	0.001024
0.050	498.629528	0.509114	0.925148	0.000945
0.100	463.168257	0.473521	0.859353	0.000879
0.150	430.431029	0.438841	0.798613	0.000814
0.200	401.428058	0.408101	0.744802	0.000757
0.250	373.885013	0.380351	0.693699	0.000706
0.300	349.135901	0.354810	0.647780	0.000658
0.350	325.631118	0.329237	0.604170	0.000611
0.400	305.006661	0.308302	0.565903	0.000572
0.450	284.642328	0.287080	0.528120	0.000533
0.500	266.952173	0.269078	0.495298	0.000499
0.550	251.119006	0.252621	0.465921	0.000469
0.600	235.913274	0.236468	0.437709	0.000439
0.650	222.238731	0.222283	0.412337	0.000412
0.700	210.581803	0.210114	0.390709	0.000390
0.750	200.253439	0.199452	0.371546	0.000370
0.800	192.291677	0.191495	0.356774	0.000355
0.850	187.267329	0.186274	0.347452	0.000346
0.900	184.752977	0.183598	0.342787	0.000341
0.910	185.084221	0.184208	0.343402	0.000342
0.920	184.836530	0.184073	0.342942	0.000342
0.930	185.424034	0.184257	0.344032	0.000342
0.940	185.986863	0.185288	0.345076	0.000344
0.950	186.218242	0.185097	0.345506	0.000343
0.960	186.554323	0.185818	0.346129	0.000345
0.970	187.137054	0.186662	0.347210	0.000346
0.980	187.966863	0.187440	0.348750	0.000348
0.990	187.558234	0.186799	0.347992	0.000347
