#System variables:
#Boundary type: 1
#System Length: 10.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	93.037078	0.095616	1.000000	0.001028
0.050	87.132955	0.089247	0.936540	0.000959
0.100	81.803900	0.083582	0.879261	0.000898
0.150	76.929861	0.078267	0.826873	0.000841
0.200	72.425613	0.073471	0.778460	0.000790
0.250	68.529162	0.069245	0.736579	0.000744
0.300	64.866116	0.065374	0.697207	0.000703
0.350	61.321693	0.061533	0.659110	0.000661
0.400	58.205230	0.058247	0.625613	0.000626
0.450	55.289244	0.055090	0.594271	0.000592
0.500	52.645800	0.052278	0.565858	0.000562
0.550	50.359918	0.049801	0.541289	0.000535
0.600	48.316978	0.047602	0.519330	0.000512
0.650	46.489352	0.045696	0.499686	0.000491
0.700	44.967843	0.044111	0.483332	0.000474
0.750	43.798825	0.042902	0.470767	0.000461
0.800	43.118027	0.042202	0.463450	0.000454
0.850	43.011320	0.042120	0.462303	0.000453
0.900	43.326239	0.042499	0.465688	0.000457
0.910	43.444608	0.042673	0.466960	0.000459
0.920	43.530483	0.042778	0.467883	0.000460
0.930	43.736170	0.042939	0.470094	0.000462
0.940	43.776974	0.043022	0.470533	0.000462
0.950	43.887515	0.043255	0.471721	0.000465
0.960	43.940209	0.043223	0.472287	0.000465
0.970	43.982068	0.043221	0.472737	0.000465
0.980	44.046082	0.043327	0.473425	0.000466
0.990	44.022907	0.043259	0.473176	0.000465
