#System variables:
#Boundary type: 1
#System Length: 200.000000
#Detection Radius: 1.000000
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	111957.356264	112.740460	1.000000	0.001007
0.200	78971.743945	79.572019	0.705373	0.000711
0.250	72241.108651	72.701466	0.645256	0.000649
0.300	66208.825992	66.589014	0.591375	0.000595
0.350	60580.061945	60.980653	0.541099	0.000545
0.400	55340.182057	55.566122	0.494297	0.000496
0.450	50552.686031	50.703976	0.451535	0.000453
0.500	46126.459758	46.334334	0.412000	0.000414
0.550	41957.180399	42.110926	0.374760	0.000376
0.600	38122.886677	38.274418	0.340513	0.000342
0.650	34562.209539	34.613367	0.308709	0.000309
0.700	31424.514672	31.518262	0.280683	0.000282
0.750	28362.780764	28.461856	0.253336	0.000254
0.800	25707.951083	25.724633	0.229623	0.000230
0.850	23456.741949	23.457021	0.209515	0.000210
0.900	21658.147372	21.689111	0.193450	0.000194
0.910	21267.928368	21.280852	0.189965	0.000190
0.920	21029.595849	21.049329	0.187836	0.000188
0.930	20774.477627	20.751518	0.185557	0.000185
0.940	20503.092189	20.506178	0.183133	0.000183
0.950	20327.895367	20.344502	0.181568	0.000182
0.960	20137.624267	20.147401	0.179869	0.000180
0.970	20020.184022	20.028534	0.178820	0.000179
0.980	19889.450183	19.891904	0.177652	0.000178
0.990	19792.786643	19.793470	0.176789	0.000177
